Sample in Buffer,Sample in Window,TRIGGER,soc_i/axi_rffe_iic_o_i2c_scl_tx,soc_i/axi_rffe_iic_o_i2c_sda_tx,soc_i/i_i2c_scl_rx_1,soc_i/i_i2c_sda_rx_1
26499,26499,0,1,0,1,0
26500,26500,0,0,0,0,0
26501,26501,0,1,0,1,0
26502,26502,0,0,0,0,0
26503,26503,0,0,1,0,1
26504,26504,0,1,1,1,1
26505,26505,0,0,1,0,1
26506,26506,0,0,0,0,0
26507,26507,0,1,0,1,0
26508,26508,0,0,0,0,0
26509,26509,0,1,0,1,0
26510,26510,0,0,0,0,0
26511,26511,0,0,1,0,1
26512,26512,0,1,1,1,1
26513,26513,0,0,1,0,1
26514,26514,0,1,1,1,1
26515,26515,0,0,1,0,1
26516,26516,0,0,0,0,0
26517,26517,0,1,0,1,0
26518,26518,0,0,0,0,0
26519,26519,0,1,0,1,0
26520,26520,0,0,0,0,0
26521,26521,0,1,1,1,0
26522,26522,0,0,1,0,0
26523,26523,0,0,1,0,1
26524,26524,0,0,0,0,0
26525,26525,0,1,0,1,0
26526,26526,0,0,0,0,0
26527,26527,0,1,0,1,0
26528,26528,0,0,0,0,0
26529,26529,0,1,0,1,0
26530,26530,0,0,0,0,0
26531,26531,0,1,0,1,0
26532,26532,0,0,0,0,0
26533,26533,0,1,0,1,0
26534,26534,0,0,0,0,0
26535,26535,0,1,0,1,0
26536,26536,0,0,0,0,0
26537,26537,0,0,1,0,1
26538,26538,0,1,1,1,1
26539,26539,0,0,1,0,1
26540,26540,0,0,0,0,0
26541,26541,0,1,0,1,0
26542,26542,0,0,0,0,0
26543,26543,0,1,1,1,0
26544,26544,0,0,1,0,0
26545,26545,0,0,1,0,1
26546,26546,0,1,1,1,1
26547,26547,0,0,1,0,1
26548,26548,0,0,0,0,0
26549,26549,0,1,0,1,0
26550,26550,0,0,0,0,0
26551,26551,0,1,0,1,0
26552,26552,0,0,0,0,0
26553,26553,0,0,1,0,1
26554,26554,0,1,1,1,1
26555,26555,0,0,1,0,1
26556,26556,0,0,0,0,0
26557,26557,0,1,0,1,0
26558,26558,0,0,0,0,0
26559,26559,0,1,0,1,0
26560,26560,0,0,0,0,0
26561,26561,0,1,0,1,0
26562,26562,0,0,0,0,0
26563,26563,0,1,0,1,0
26564,26564,0,0,0,0,0
26565,26565,0,1,1,1,0
26566,26566,0,0,1,0,0
26567,26567,0,0,1,0,1
26568,26568,0,0,0,0,0
26569,26569,0,1,0,1,0
26570,26570,0,0,0,0,0
26571,26571,0,1,0,1,0
26572,26572,0,0,0,0,0
26573,26573,0,1,0,1,0
26574,26574,0,0,0,0,0
26575,26575,0,0,1,0,1
26576,26576,0,1,1,1,1
26577,26577,0,0,1,0,1
26578,26578,0,1,1,1,1
26579,26579,0,0,1,0,1
26580,26580,0,0,0,0,0
26581,26581,0,1,0,1,0
26582,26582,0,0,0,0,0
26583,26583,0,0,1,0,1
26584,26584,0,1,1,1,1
26585,26585,0,0,1,0,1
26586,26586,0,1,1,1,1
26587,26587,0,0,1,0,1
26588,26588,0,0,1,0,0
26589,26589,0,1,1,1,0
26590,26590,0,0,1,0,0
26591,26591,0,0,1,0,1
26592,26592,0,0,0,0,0
26593,26593,0,1,0,1,0
26594,26594,0,1,1,1,1
26595,26595,0,1,0,1,0
26596,26596,0,0,0,0,0
26597,26597,0,1,0,1,0
26598,26598,0,0,0,0,0
26599,26599,0,0,1,0,1
26600,26600,0,1,1,1,1
26601,26601,0,0,1,0,1
26602,26602,0,0,0,0,0
26603,26603,0,1,0,1,0
26604,26604,0,0,0,0,0
26605,26605,0,1,0,1,0
26606,26606,0,0,0,0,0
26607,26607,0,0,1,0,1
26608,26608,0,1,1,1,1
26609,26609,0,0,1,0,1
26610,26610,0,1,1,1,1
26611,26611,0,0,1,0,1
26612,26612,0,0,0,0,0
26613,26613,0,1,0,1,0
26614,26614,0,0,0,0,0
26615,26615,0,1,0,1,0
26616,26616,0,0,0,0,0
26617,26617,0,1,1,1,0
26618,26618,0,0,1,0,0
26619,26619,0,0,1,0,1
26620,26620,0,0,0,0,0
26621,26621,0,1,0,1,0
26622,26622,0,0,0,0,0
26623,26623,0,1,0,1,0
26624,26624,0,0,0,0,0
26625,26625,0,1,0,1,0
26626,26626,0,0,0,0,0
26627,26627,0,1,0,1,0
26628,26628,0,0,0,0,0
26629,26629,0,1,0,1,0
26630,26630,0,0,0,0,0
26631,26631,0,1,0,1,0
26632,26632,0,0,0,0,0
26633,26633,0,0,1,0,1
26634,26634,0,1,1,1,1
26635,26635,0,0,1,0,1
26636,26636,0,0,0,0,0
26637,26637,0,1,0,1,0
26638,26638,0,0,0,0,0
26639,26639,0,1,1,1,0
26640,26640,0,0,1,0,0
26641,26641,0,0,1,0,1
26642,26642,0,0,0,0,0
26643,26643,0,1,0,1,0
26644,26644,0,0,0,0,0
26645,26645,0,1,0,1,0
26646,26646,0,0,0,0,0
26647,26647,0,1,0,1,0
26648,26648,0,0,0,0,0
26649,26649,0,0,1,0,1
26650,26650,0,1,1,1,1
26651,26651,0,0,1,0,1
26652,26652,0,0,0,0,0
26653,26653,0,1,0,1,0
26654,26654,0,0,0,0,0
26655,26655,0,1,0,1,0
26656,26656,0,0,0,0,0
26657,26657,0,1,0,1,0
26658,26658,0,0,0,0,0
26659,26659,0,1,0,1,0
26660,26660,0,0,0,0,0
26661,26661,0,1,1,1,0
26662,26662,0,0,1,0,0
26663,26663,0,0,1,0,1
26664,26664,0,0,0,0,0
26665,26665,0,1,0,1,0
26666,26666,0,0,0,0,0
26667,26667,0,1,0,1,0
26668,26668,0,0,0,0,0
26669,26669,0,1,0,1,0
26670,26670,0,0,0,0,0
26671,26671,0,0,1,0,1
26672,26672,0,1,1,1,1
26673,26673,0,0,1,0,1
26674,26674,0,1,1,1,1
26675,26675,0,0,1,0,1
26676,26676,0,0,0,0,0
26677,26677,0,1,0,1,0
26678,26678,0,0,0,0,0
26679,26679,0,0,1,0,1
26680,26680,0,1,1,1,1
26681,26681,0,0,1,0,1
26682,26682,0,1,1,1,1
26683,26683,0,0,1,0,1
26684,26684,0,0,1,0,0
26685,26685,0,1,1,1,0
26686,26686,0,0,1,0,0
26687,26687,0,0,1,0,1
26688,26688,0,0,0,0,0
26689,26689,0,1,0,1,0
26690,26690,0,1,1,1,1
26691,26691,0,1,0,1,0
26692,26692,0,0,0,0,0
26693,26693,0,1,0,1,0
26694,26694,0,0,0,0,0
26695,26695,0,0,1,0,1
26696,26696,0,1,1,1,1
26697,26697,0,0,1,0,1
26698,26698,0,0,0,0,0
26699,26699,0,1,0,1,0
26700,26700,0,0,0,0,0
26701,26701,0,1,0,1,0
26702,26702,0,0,0,0,0
26703,26703,0,0,1,0,1
26704,26704,0,1,1,1,1
26705,26705,0,0,1,0,1
26706,26706,0,0,0,0,0
26707,26707,0,1,0,1,0
26708,26708,0,0,0,0,0
26709,26709,0,0,1,0,1
26710,26710,0,1,1,1,1
26711,26711,0,0,1,0,1
26712,26712,0,0,0,0,0
26713,26713,0,1,0,1,0
26714,26714,0,0,0,0,0
26715,26715,0,1,1,1,0
26716,26716,0,0,1,0,0
26717,26717,0,0,1,0,1
26718,26718,0,0,0,0,0
26719,26719,0,1,0,1,0
26720,26720,0,0,0,0,0
26721,26721,0,1,0,1,0
26722,26722,0,0,0,0,0
26723,26723,0,1,0,1,0
26724,26724,0,0,0,0,0
26725,26725,0,1,0,1,0
26726,26726,0,0,0,0,0
26727,26727,0,1,0,1,0
26728,26728,0,0,0,0,0
26729,26729,0,1,0,1,0
26730,26730,0,0,0,0,0
26731,26731,0,0,1,0,1
26732,26732,0,1,1,1,1
26733,26733,0,0,1,0,1
26734,26734,0,0,0,0,0
26735,26735,0,1,0,1,0
26736,26736,0,0,0,0,0
26737,26737,0,1,1,1,0
26738,26738,0,0,1,0,0
26739,26739,0,0,1,0,1
26740,26740,0,0,0,0,0
26741,26741,0,1,0,1,0
26742,26742,0,0,0,0,0
26743,26743,0,1,0,1,0
26744,26744,0,0,0,0,0
26745,26745,0,1,0,1,0
26746,26746,0,0,0,0,0
26747,26747,0,1,0,1,0
26748,26748,0,0,0,0,0
26749,26749,0,1,0,1,0
26750,26750,0,0,0,0,0
26751,26751,0,1,0,1,0
26752,26752,0,0,0,0,0
26753,26753,0,1,0,1,0
26754,26754,0,0,0,0,0
26755,26755,0,1,0,1,0
26756,26756,0,0,0,0,0
26757,26757,0,1,1,1,0
26758,26758,0,0,1,0,0
26759,26759,0,0,1,0,1
26760,26760,0,0,0,0,0
26761,26761,0,1,0,1,0
26762,26762,0,0,0,0,0
26763,26763,0,1,0,1,0
26764,26764,0,0,0,0,0
26765,26765,0,1,0,1,0
26766,26766,0,0,0,0,0
26767,26767,0,1,0,1,0
26768,26768,0,0,0,0,0
26769,26769,0,1,0,1,0
26770,26770,0,0,0,0,0
26771,26771,0,1,0,1,0
26772,26772,0,0,0,0,0
26773,26773,0,1,0,1,0
26774,26774,0,0,0,0,0
26775,26775,0,1,0,1,0
26776,26776,0,0,0,0,0
26777,26777,0,1,1,1,0
26778,26778,0,0,1,0,0
26779,26779,0,0,1,0,1
26780,26780,0,0,0,0,0
26781,26781,0,1,0,1,0
26782,26782,0,1,1,1,1
26783,26783,0,1,0,1,0
26784,26784,0,0,0,0,0
26785,26785,0,1,0,1,0
26786,26786,0,0,0,0,0
26787,26787,0,0,1,0,1
26788,26788,0,1,1,1,1
26789,26789,0,0,1,0,1
26790,26790,0,0,0,0,0
26791,26791,0,1,0,1,0
26792,26792,0,0,0,0,0
26793,26793,0,1,0,1,0
26794,26794,0,0,0,0,0
26795,26795,0,0,1,0,1
26796,26796,0,1,1,1,1
26797,26797,0,0,1,0,1
26798,26798,0,0,0,0,0
26799,26799,0,1,0,1,0
26800,26800,0,0,0,0,0
26801,26801,0,0,1,0,1
26802,26802,0,1,1,1,1
26803,26803,0,0,1,0,1
26804,26804,0,0,0,0,0
26805,26805,0,1,0,1,0
26806,26806,0,0,0,0,0
26807,26807,0,1,1,1,0
26808,26808,0,0,1,0,0
26809,26809,0,0,1,0,1
26810,26810,0,0,0,0,0
26811,26811,0,1,0,1,0
26812,26812,0,0,0,0,0
26813,26813,0,1,0,1,0
26814,26814,0,0,0,0,0
26815,26815,0,1,0,1,0
26816,26816,0,0,0,0,0
26817,26817,0,1,0,1,0
26818,26818,0,0,0,0,0
26819,26819,0,1,0,1,0
26820,26820,0,0,0,0,0
26821,26821,0,1,0,1,0
26822,26822,0,0,0,0,0
26823,26823,0,0,1,0,1
